Product Image Verification Report
Generated: 2026-07-15T17:47:46.725Z
Coverage: 100/100
Unique URLs: 100
Duplicates: none
Missing: none
Failed validation: none

HERO PRODUCTS:
  lrp-effaclar: OK https://images.openbeautyfacts.org/images/products/333/787/241/1083/front_fr.7.400.jpg (obf:Effaclar Gel moussant purifiant)
  cerave-foam: OK https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?imwidth=600 (sephora:s2025633)
  boj-spf: OK https://www.sephora.com/productimages/sku/s2893485-main-zoom.jpg?imwidth=600 (sephora:s2893485)
  cosrx-snail: OK https://cdn.shopify.com/s/files/1/0513/3775/6828/files/james_800x1067_1_1_4e9750cc-2cd6-4817-ace5-be2305a85806.jpg (shopify)
  vichy-mineral89: OK https://www.sephora.com/productimages/sku/s2210623-main-zoom.jpg?imwidth=600 (sephora:s2210623)
  el-adv-night: OK https://www.sephora.com/productimages/sku/s2379683-main-zoom.jpg?imwidth=600 (sephora:s2379683)

id	brand	url	source	size_bytes	status
lrp-effaclar	La Roche-Posay	https://images.openbeautyfacts.org/images/products/333/787/241/1083/front_fr.7.400.jpg	obf:Effaclar Gel moussant purifiant	14884	OK
lrp-cicaplast	La Roche-Posay	https://images.openbeautyfacts.org/images/products/333/787/551/7300/front_fr.6.400.jpg	obf	17657	OK
lrp-anthelios	La Roche-Posay	https://images.openbeautyfacts.org/images/products/869/059/521/4177/front_tr.5.400.jpg	obf:Anthelios	25626	OK
lrp-hyalu	La Roche-Posay	https://www.sephora.com/productimages/sku/s2379691-main-zoom.jpg?imwidth=600	sephora:s2379691	28040	OK
cerave-foam	CeraVe	https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?imwidth=600	sephora:s2025633	27510	OK
cerave-cream	CeraVe	https://images.openbeautyfacts.org/images/products/360/600/053/7743/front_en.37.400.jpg	obf	24803	OK
cerave-pm	CeraVe	https://images.openbeautyfacts.org/images/products/360/600/053/7453/front_en.3.400.jpg	obf	11315	OK
vichy-mineral89	Vichy	https://www.sephora.com/productimages/sku/s2210623-main-zoom.jpg?imwidth=600	sephora:s2210623	19047	OK
vichy-liftactiv	Vichy	https://www.sephora.com/productimages/sku/s2210631-main-zoom.jpg?imwidth=600	sephora:s2210631	21832	OK
avene-tol	Avène	https://images.openbeautyfacts.org/images/products/328/277/013/8801/front_fr.12.400.jpg	obf:Toleriane	26963	OK
avene-cleanance	Avène	https://images.openbeautyfacts.org/images/products/328/277/936/5529/front_fr.6.400.jpg	obf	27064	OK
bioderma-sensibio	Bioderma	https://images.openbeautyfacts.org/images/products/370/112/981/2112/front_en.3.400.jpg	obf	24502	OK
bioderma-sebium	Bioderma	https://images.openbeautyfacts.org/images/products/340/157/865/3709/front_fr.5.400.jpg	obf:Sebium	22921	OK
boj-spf	Beauty of Joseon	https://www.sephora.com/productimages/sku/s2893485-main-zoom.jpg?imwidth=600	sephora:s2893485	22680	OK
boj-glow	Beauty of Joseon	https://cdn.shopify.com/s/files/1/0558/4135/7989/files/glow-serum-propolis-niacinamide-1-front.webp	shopify	151832	OK
boj-retin	Beauty of Joseon	https://www.sephora.com/productimages/sku/s2896223-main-zoom.jpg?imwidth=600	sephora:s2896223	21706	OK
cosrx-snail	COSRX	https://cdn.shopify.com/s/files/1/0513/3775/6828/files/james_800x1067_1_1_4e9750cc-2cd6-4817-ace5-be2305a85806.jpg	shopify	26610	OK
cosrx-aha	COSRX	https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ahabha-clarifying-treatment-toner-cosrx-official-1.jpg	shopify	18993	OK
roundlab-dokdo	Round Lab	https://cdn.shopify.com/s/files/1/0651/7656/8022/files/Dokdo_cleanser_renewed.webp	shopify	46951	OK
roundlab-birch	Round Lab	https://cdn.shopify.com/s/files/1/0651/7656/8022/files/BIRCH_JUICE_MOISTURIZING_UVLOCK3_Large_10126e46-dfcc-4cd5-970c-146d4be65989.webp?v=1772852134	shopify:roundlab.com/birch-moisturizing-uv-sunscreen	50511	OK
anua-heartleaf	Anua	https://cdn.shopify.com/s/files/1/0753/1429/9158/files/anua-us-toner-heartleaf-77-soothing-toner-1239193744.jpg	shopify	46179	OK
skin1004-ampoule	SKIN1004	https://images.openbeautyfacts.org/images/products/880/957/626/0601/front_en.3.400.jpg	obf:Madagascar Centella Ampoule	8959	OK
skin1004-spf	SKIN1004	https://images.openbeautyfacts.org/images/products/880/991/383/0177/front_fr.3.400.jpg	obf:Hyalu-Cica Water-Fit Sun Serum	16736	OK
laneige-lip	Laneige	https://cdn.shopify.com/s/files/1/0255/0189/2660/files/LSM_AMS_Infographic_2000x2000_Product_1_1.jpg	shopify	165253	OK
laneige-cream	Laneige	https://cdn.shopify.com/s/files/1/0255/0189/2660/files/LN_WBCM_24AD_Product_02.jpg	shopify	89148	OK
medicube-zero	Medicube	https://cdn.shopify.com/s/files/1/0156/3905/2336/files/00_2ddf4c5b-f021-4196-a560-5f52d5c59b89.jpg	shopify	142961	OK
torriden-dive	Torriden	https://www.sephora.com/productimages/sku/s3039609-main-zoom.jpg?imwidth=600	sephora:s3039609	22018	OK
purito-centella	Purito	https://images.openbeautyfacts.org/images/products/880/956/310/0095/front_en.6.400.jpg	obf:Centella Unscented Serum	36719	OK
isntree-ha	Isntree	https://www.sephora.com/productimages/sku/s2929289-main-zoom.jpg?imwidth=600	sephora:s2929289	27781	OK
clinique-ddmj	Clinique	https://www.sephora.com/productimages/sku/s1538354-main-zoom.jpg?imwidth=600	sephora:s1538354	36192	OK
clinique-take	Clinique	https://www.sephora.com/productimages/sku/s2039477-main-zoom.jpg?imwidth=600	sephora:s2039477	46422	OK
el-adv-night	Estée Lauder	https://www.sephora.com/productimages/sku/s2379683-main-zoom.jpg?imwidth=600	sephora:s2379683	32504	OK
shiseido-ess	Shiseido	https://www.sephora.com/productimages/sku/s1932920-main-zoom.jpg?imwidth=600	sephora:s1932920	29428	OK
dior-capture	Dior Beauty	https://www.sephora.com/productimages/sku/s2835759-main-zoom.jpg?imwidth=600	sephora:s2835759	16596	OK
rare-softpinch	Rare Beauty	https://www.sephora.com/productimages/sku/s2911741-main-zoom.jpg?imwidth=600	sephora:s2911741	23829	OK
rare-mascara	Rare Beauty	https://www.sephora.com/productimages/sku/s2474138-main-zoom.jpg?imwidth=600	sephora:s2474138	18818	OK
ct-pillow	Charlotte Tilbury	https://www.sephora.com/productimages/sku/s2801371-main-zoom.jpg?imwidth=600	sephora:s2801371	27684	OK
ct-hollywood	Charlotte Tilbury	https://www.sephora.com/productimages/sku/s2605988-main-zoom.jpg?imwidth=600	sephora:s2605988	59268	OK
nars-orgasm	NARS	https://www.sephora.com/productimages/sku/s2927366-main-zoom.jpg?imwidth=600	sephora:s2927366	60648	OK
nars-radiant	NARS	https://www.sephora.com/productimages/sku/s2172310-main-zoom.jpg?imwidth=600	sephora:s2172310	83254	OK
fenty-profilt	Fenty Beauty	https://www.sephora.com/productimages/sku/s2590081-main-zoom.jpg?imwidth=600	sephora:s2590081	37165	OK
fenty-gloss	Fenty Beauty	https://www.sephora.com/productimages/sku/s3007762-main-zoom.jpg?imwidth=600	sephora:s3007762	48506	OK
mac-ruby	MAC	https://www.sephora.com/productimages/sku/s2799120-main-zoom.jpg?imwidth=600	sephora:s2799120	13544	OK
mac-fix	MAC	https://www.sephora.com/productimages/sku/s2779098-main-zoom.jpg?imwidth=600	sephora:s2779098	28733	OK
huda-easybake	Huda Beauty	https://www.sephora.com/productimages/sku/s2114072-main-zoom.jpg?imwidth=600	sephora:s2114072	75904	OK
dior-forever	Dior Beauty	https://www.sephora.com/productimages/sku/s2933869-main-zoom.jpg?imwidth=600	sephora:s2933869	44749	OK
dior-addict	Dior Beauty	https://www.sephora.com/productimages/sku/s2830479-main-zoom.jpg?imwidth=600	sephora:s2830479	34524	OK
